type  latitude longitude name
W     43.020444444       -88.012888889           Milwaukee Mile
W     43.962194444       12.684222222            Misano World Circuit
W     49.126694444       -122.325583333          Mission Raceway Park
W     43.735027778       7.421250000             Monaco
W     53.256972222       -6.745083333            Mondello Park
W     46.193305556       -74.611500000           Mont-Tremblant
W     41.846194444       -7.757194444            Montalegre
W     37.358833333       -6.571472222            Monteblanco
W     25.860611111       -100.218027778          Monterrey - Circuit
W     25.857277778       -100.217444444          Monterrey - Kart Track
W     41.623916667       -74.698444444           Monticello - Full Course
W     41.619805556       -74.697638889           Monticello - Mushroom Course
W     41.623916667       -74.698444444           Monticello - North Course
W     41.623916667       -74.698444444           Monticello - South Course
W     30.500277778       -83.795055556           Monticello Karting
W     45.618972222       9.281194444             Monza
W     40.508277778       8.832083333             Mores
W     -28.262055556      152.036416667           Morgan Park Raceway
W     55.564527778       37.991055556            Moscow Autodrom
W     55.996055556       36.270527778            Moscow Raceway
W     50.519444444       13.607750000            Most
W     36.532750000       140.226194444           Motegi Oval
W     36.533000000       140.226722222           Motegi Road Course
W     62.057638889       27.559861111            Motopark Raceway
W     41.078305556       -0.197833333            Motorland Aragon
W     41.075472222       -0.188638889            Motorland Aragon - Kart
W     52.027527778       11.278111111            Motorsport Arena Oschersleben
W     40.580138889       -98.351277778           Motorsports Park Hastings
W     -33.439388889      149.558250000           Mount Panorama Circuit
W     32.523111111       -97.615277778           MSR Cresson East Course
W     32.523111111       -97.615277778           MSR Cresson Full Track
W     32.523416667       -97.619694444           MSR Cresson West Course
W     29.279000000       -95.422416667           MSR Houston Full Track
W     29.277555556       -95.425250000           MSR Houston Kart Track
W     29.279000000       -95.422416667           MSR Houston LeMons Loop
W     29.276555556       -95.422888889           MSR Houston Long Outer Loop
W     29.279000000       -95.422416667           MSR Houston NASCAR Loop
W     29.276555556       -95.422888889           MSR Houston Short Outer Loop
W     29.279000000       -95.422416667           MSR Houston Trooper Loop
W     43.997583333       11.371444444            Mugello Circuit
W     34.786083333       134.177000000           Nakayama Circuit
W     34.783527778       134.177777778           Nakayama Kart Track
W     40.318611111       17.826666667            Nardo Handling Track
W     40.318416667       17.806000000            Nardo Ring
W     36.046222222       -86.409666667           Nashville Superspeedway
W     36.970805556       140.127416667           Nasu Motor Sports Land
W     44.836611111       19.963055556            Navak Track
W     42.559222222       -2.168055556            Navarra - Circuit
W     42.557888889       -2.168000000            Navarro - Kart Track
W     36.479388889       -77.579833333           NCCAR
W     37.001583333       -86.368833333           NCM Motorsports Park
W     41.307083333       -81.014111111           Nelson Ledges Road Course
W     -15.772833333      -47.900250000           Nelson Piquet - Circuit
W     -15.778388889      -47.896500000           Nelson Piquet - Kart Track
W     54.915694444       23.703944444            Nemuno Ziedas
W     43.363083333       -71.462000000           New Hampshire Intl. Speedway
W     39.361472222       -75.054111111           NJ Motorsports Park - Lightning
W     39.360805556       -75.073611111           NJ Motorsports Park - Thunderbolt
W     30.018333333       -91.080750000           No Problem Raceway Park
W     29.885388889       -90.199166667           Nola Motorsports Park
W     49.431138889       11.124666667            Norisring
W     64.785305556       -147.395000000          North Pole Speedway
W     61.559055556       -149.274583333          Northstar Speedway
W     50.335583333       6.947583333             Nurburgring Grand Prix
W     50.343583333       6.960055556             Nurburgring Nordschleife
W     54.622861111       -6.144083333            Nutts Corner
W     29.228472222       -82.189805556           Ocala Gran Prix
W     34.914277778       134.218944444           Okayama Intl. Circuit
W     34.914666667       134.217861111           Okayama Kart Track
W     40.334916667       -74.353555556           Old Bridge Township Raceway
W     54.259944444       -0.409444444            Oliver's Mount
W     -34.007861111      150.733027778           Oran Park Raceway
W     39.623666667       109.869722222           Ordos Intl. Circuit
W     45.363777778       -120.744527778          Oregon Raceway Park
W     28.412722222       -81.379666667           Orlando Kart Center
W     -20.475916667      -54.466027778           Orlando Moura
W     53.180000000       -2.612833333            Oulton Park Circuit
W     21.721833333       -102.328555556          Ovalo Aguascalientes Mexico
W     47.324194444       -122.151777778          Pacific Raceways Grand Prix
W     47.320916667       -122.147527778          Pacific Raceways Road Course
W     54.869111111       9.275694444             Padborg Park
W     -37.379638889      175.669777778           Paeroa Street Circuit
W     53.133388889       -8.353027778            Pallas Karting - 1500m
W     53.133777778       -8.354750000            Pallas Karting - 500m
W     26.920722222       -80.305944444           Palm Beach Intl. Raceway
W     41.592138889       1.688083333             Parcmotor Castelloli
W     43.447111111       -0.532500000            Pau Arnos
W     43.770638889       -0.040555556            Paul Armagnac (Nogaro)
W     43.251194444       5.793055556             Paul Ricard
W     26.920555556       -80.307055556           PBIR Kart Track
W     14.382472222       -90.820666667           Pedro Cofino
W     51.705861111       -4.323833333            Pembrey Circuit
W     37.520166667       14.305444444            Pergusa
W     -27.904694444      26.709527778            Phakisa Oval Track
